date,id,content,username,like_count,retweet_count
2023-03-27 12:27:11+00:00,1640329616912007168,@MKBHD Stick to the frisbee and iPhone unboxing bud. Cheers,AllHaleNathan1,1,0
2023-03-27 06:43:48+00:00,1640243203101081600,"Hey @MKBHD, what's your take on the latest iPhone rumors? Can't wait to see what Apple has in store for us this year! #AppleRumors #MKBHD #Iphone15",JavyTorres,0,0
2023-03-26 19:58:08+00:00,1640080717496434691,"@olajamoyinka @Zege_Zaki @kool_timmy @DrHeskay @Letter_to_Jack E reach to reason am óò coz wtf, pixel taking bad photos is something I don't think I've ever heard. Pixel 6A &amp; 7P came 1st &amp; 2nd respectively in MKBHD blind smartphone photography test with over 24 million unbiased votes óò. iPhone 14 was languishing in the mid section.",Hall_of_stones,1,0
2023-03-26 19:37:32+00:00,1640075532896198657,@MKBHD @WVFRM @AndyManganelli Dark Sky weather app on iPhone is working again! Check it out!,Rehanlive,0,0
2023-03-26 17:42:31+00:00,1640046585592840193,"@TheGalox_ @MKBHD Way better!🤣 you can fool your samboy followers with this crop video of Super steady mode,lol. 
And I already said why I bring up iPhone,lol.",JahidulAkm,0,0
2023-03-26 17:42:29+00:00,1640046577539530752,"@nicksonnyuki @MKBHD Ooooo yaa I remember, he commented on her using an iPhone to post a tweet about another phone.",matemba_,1,0
2023-03-26 17:40:39+00:00,1640046118456180737,@kimurgor_duncan @Nesh_maina Mkbhd si die hard he is american and majority of americans use iphones … id rather u say mrwhosetheboss ni fan wa samsung but at the end of it all what phone does he use? Iphone 😂😂😂,mathias_schemer,0,0
2023-03-26 17:33:50+00:00,1640044399542566912,"@IWearTurtleNeck @MKBHD S23U has the most versatile camera but not the best.""The best camera"" is subjective and my point wasn’t even that,lol. Whenever anyone call iPhone has the best camera bcoz of it’s video,you guys give excuse like video is nothing and now using the same excuse to make s23u better.",JahidulAkm,0,0
2023-03-26 17:33:31+00:00,1640044319930466305,"@IWearTurtleNeck @MKBHD IPhone is way ahead in video but you guys won’t accept,lol.from lens switching to HDR,noise reduction,framing,stabilization everything is better on iPhone.",JahidulAkm,0,0
2023-03-26 17:28:30+00:00,1640043057830666241,"@iamtricia118 MKBHD for instance agrees that the  Google Pixel makes better photos, but he keeps the iPhone for video. I would rather swap both cams into 1 phone instead!",papashotit,2,1
